Test acc,Training acc,Test time,Training time,Epochs,Training size,Batchsize,Learning rate,Momentum,EpochLrDecrease,Backprop prob,Seed,Hidden Units1
80,94.01993,0.000215,0.0065643,4,301,50,0.008465924,0.48381504,0.8522821,0.82486093,85920,38
71,79.672134,0.0002298,0.0044319,3,305,47,0.005009991,0.40713045,0.83049464,0.8792113,96519,43
73,75.501114,0.0001956,0.0086835,5,449,95,0.0041229757,0.40738454,0.86702335,0.95688534,8833,24
82,91.358025,0.0002415,0.0102204,3,486,20,0.006954689,0.5018426,0.828237,0.97609526,56836,22
75,68.50394,0.0002255,0.0059664,4,381,77,0.0041881236,0.1343489,0.87586254,0.8530033,87934,28
81,88.300224,0.0002241,0.0094805,3,453,18,0.008908642,0.19155279,0.8956016,0.8728312,76803,20
78,80,0.0002321,0.0072837,5,325,58,0.009803447,0.11451604,0.87033886,0.9053075,85859,24
74,79.1579,0.0002257,0.0072164,3,475,79,0.001941328,0.33211708,0.8081817,0.85297406,64842,44
76,78.42697,0.0002386,0.0076791,4,445,78,0.0046371496,0.21817519,0.87857956,0.9241537,14261,35
72,84.80243,0.0002097,0.0059165,4,329,78,0.0077388654,0.459641,0.83985096,0.96124095,36448,25
78,72.07638,0.0002296,0.0094405,4,419,71,0.006074495,0.11087305,0.88141996,0.98819065,406,38
77,90.274315,0.0002267,0.0076751,4,401,65,0.00672104,0.5342094,0.8034927,0.95936716,14068,45
69,74.34211,0.0001896,0.00668,5,304,65,0.0042389343,0.43942904,0.81665194,0.956703,41893,39
80,86.57407,0.000188,0.0081398,4,432,46,0.0080771865,0.1627502,0.86898154,0.9114506,32017,21
74,74.0113,0.000206,0.0076637,5,354,60,0.009958942,0.13599096,0.8007397,0.97218955,87542,21
86,91.51786,0.0002616,0.0084137,4,448,36,0.0077482043,0.55482227,0.8368563,0.82215136,65731,23
63,64.376595,0.0002133,0.0064106,3,393,37,0.0013783944,0.19781993,0.8416806,0.8136493,69070,26
73,78.208954,0.0002318,0.005169,3,335,43,0.007627637,0.3053423,0.8712612,0.97757065,94712,37
80,80.04032,0.0002047,0.0088231,4,496,64,0.0044977944,0.34834397,0.87174046,0.8398318,19119,24
58,45.12987,0.0002312,0.0064789,3,308,81,0.007888796,0.2863794,0.88096344,0.99219424,22681,38
69,77.5,0.0002309,0.0055367,3,360,44,0.0035330935,0.52685213,0.8057628,0.8494856,85443,21
